epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.134,0.9339,1.91532,1.38223,0.06492,0.19255,0.03227,0.00992,nan,nan,nan,0.0704,0.00328889,0.00328889
2,93.0016,0.98457,1.54959,1.39547,0.06148,0.49021,0.07895,0.02204,2.52928,3.40873,6.2392,0.0402689,0.0064911,0.0064911
3,137.676,0.90973,1.41491,1.33968,0.0556,0.22252,0.04069,0.00804,3.46094,3.3659,5.66527,0.0100058,0.00956132,0.00956132
4,181.647,0.85604,1.37161,1.29618,0.21519,0.49357,0.28846,0.18753,1.21886,2.24508,2.51962,0.009406,0.009406,0.009406
5,225.716,0.78517,1.32093,1.24145,0.30448,0.77974,0.41906,0.30409,0.79631,1.57652,1.47865,0.009208,0.009208,0.009208
6,269.874,0.7216,1.28754,1.19714,0.51982,0.45938,0.29948,0.20459,1.13709,2.12842,2.20667,0.00901,0.00901,0.00901
7,313.864,0.73465,1.26907,1.2091,0.37075,0.73417,0.45169,0.37932,0.6021,1.40564,1.23534,0.008812,0.008812,0.008812
8,357.752,0.71135,1.22007,1.18748,0.36423,0.78848,0.47386,0.34974,0.60844,2.21588,1.26359,0.008614,0.008614,0.008614
9,401.589,0.64929,1.18523,1.13897,0.43648,0.86498,0.5702,0.49587,0.5305,1.17535,1.19539,0.008416,0.008416,0.008416
10,445.416,0.63039,1.14495,1.12377,0.3483,0.8351,0.51971,0.45018,0.49831,1.43127,1.10738,0.008218,0.008218,0.008218
11,489.121,0.62581,1.10531,1.13164,0.50643,0.82477,0.59483,0.4719,0.73293,1.12205,1.36147,0.00802,0.00802,0.00802
12,533.034,0.62053,1.11702,1.13342,0.38899,0.86029,0.53471,0.44708,0.54011,1.19991,1.13199,0.007822,0.007822,0.007822
13,576.651,0.6043,1.06007,1.11568,0.47513,0.83791,0.58932,0.50409,0.5388,1.02629,1.16112,0.007624,0.007624,0.007624
14,622.125,0.60162,1.03031,1.13142,0.50816,0.85241,0.63006,0.54899,0.46208,1.08938,1.09538,0.007426,0.007426,0.007426
15,666.477,0.55885,0.98773,1.09491,0.60848,0.72567,0.72641,0.62074,0.57247,0.99661,1.27069,0.007228,0.007228,0.007228
16,710.239,0.54881,0.99408,1.08413,0.51277,0.79687,0.69867,0.62393,0.44504,1.28187,1.04525,0.00703,0.00703,0.00703
17,753.885,0.55487,0.96102,1.09021,0.58011,0.79324,0.7258,0.63839,0.49516,1.06652,1.07394,0.006832,0.006832,0.006832
18,797.736,0.53707,0.89851,1.07483,0.55075,0.71674,0.7053,0.62868,0.45169,1.47355,1.04681,0.006634,0.006634,0.006634
19,841.414,0.51725,0.88282,1.06647,0.48041,0.73434,0.61878,0.57719,0.36804,1.91862,0.96883,0.006436,0.006436,0.006436
20,884.871,0.53718,0.87125,1.0764,0.70878,0.88087,0.89519,0.83333,0.37805,0.72956,0.9876,0.006238,0.006238,0.006238
21,928.674,0.52156,0.81573,1.06933,0.78762,0.83104,0.91322,0.84533,0.42944,0.74495,1.02857,0.00604,0.00604,0.00604
22,972.409,0.53968,0.821,1.07503,0.80217,0.83031,0.90675,0.84179,0.38331,0.65869,1.00279,0.005842,0.005842,0.005842
23,1016.09,0.52144,0.79757,1.07614,0.70501,0.79428,0.86414,0.80969,0.38523,0.89931,0.98528,0.005644,0.005644,0.005644
24,1059.98,0.49623,0.76727,1.0558,0.84354,0.83254,0.90159,0.85534,0.35459,0.67375,0.97852,0.005446,0.005446,0.005446
25,1103.68,0.49566,0.74212,1.05854,0.86332,0.88783,0.94835,0.90611,0.33552,0.53996,0.94515,0.005248,0.005248,0.005248
26,1147.34,0.48652,0.6995,1.05018,0.89877,0.83516,0.94296,0.9039,0.33979,0.55888,0.94475,0.00505,0.00505,0.00505
27,1191.11,0.45859,0.7231,1.03008,0.75964,0.73143,0.83457,0.73218,0.51703,0.92904,1.1388,0.004852,0.004852,0.004852
28,1234.96,0.45125,0.68967,1.02946,0.88616,0.91877,0.95935,0.92249,0.33143,0.47803,0.94968,0.004654,0.004654,0.004654
29,1278.92,0.49616,0.69337,1.05112,0.90267,0.90613,0.96296,0.90429,0.38864,0.50635,0.98721,0.004456,0.004456,0.004456
30,1322.59,0.47505,0.65928,1.03873,0.87405,0.88883,0.95801,0.91364,0.35097,0.4818,0.96218,0.004258,0.004258,0.004258
31,1366.22,0.44608,0.61542,1.02094,0.95299,0.90806,0.97943,0.94555,0.31741,0.3767,0.93227,0.00406,0.00406,0.00406
32,1409.95,0.44933,0.60318,1.02793,0.89916,0.93253,0.96953,0.94307,0.29508,0.42036,0.90526,0.003862,0.003862,0.003862
33,1453.75,0.4426,0.57507,1.02833,0.89321,0.95049,0.98003,0.94707,0.30202,0.36896,0.91339,0.003664,0.003664,0.003664
34,1497.48,0.42924,0.56872,1.01952,0.92332,0.8769,0.96296,0.93561,0.31694,0.47478,0.9249,0.003466,0.003466,0.003466
35,1541.48,0.42795,0.57168,1.02114,0.95987,0.94516,0.9839,0.95764,0.30487,0.35867,0.91958,0.003268,0.003268,0.003268
36,1585.18,0.41104,0.51916,1.00535,0.94739,0.94324,0.98142,0.9536,0.31121,0.35224,0.92194,0.00307,0.00307,0.00307
37,1628.96,0.40501,0.4995,1.00445,0.93759,0.96177,0.98668,0.96365,0.29622,0.31272,0.91159,0.002872,0.002872,0.002872
38,1672.66,0.40354,0.49217,0.99257,0.92518,0.95222,0.98492,0.94816,0.31554,0.3453,0.91475,0.002674,0.002674,0.002674
39,1716.44,0.43639,0.50553,1.01685,0.91478,0.94764,0.98866,0.95876,0.30744,0.34858,0.91168,0.002476,0.002476,0.002476
40,1760.26,0.40871,0.48691,1.00103,0.95124,0.93131,0.98167,0.95774,0.28001,0.35501,0.89076,0.002278,0.002278,0.002278
41,1803.41,0.29859,0.32495,0.9379,0.95842,0.94095,0.98497,0.95999,0.29713,0.32925,0.91375,0.00208,0.00208,0.00208
42,1846.12,0.28333,0.30766,0.92729,0.88493,0.94772,0.98426,0.95647,0.29365,0.3533,0.93231,0.001882,0.001882,0.001882
43,1888.89,0.27207,0.28001,0.92564,0.95677,0.93423,0.98512,0.96763,0.26405,0.31734,0.87911,0.001684,0.001684,0.001684
44,1931.73,0.27115,0.26074,0.92136,0.97189,0.98332,0.99041,0.97182,0.27495,0.242,0.88695,0.001486,0.001486,0.001486
45,1974.56,0.26108,0.24951,0.90702,0.96124,0.96561,0.98752,0.97322,0.25113,0.2495,0.86746,0.001288,0.001288,0.001288
46,2017.4,0.25209,0.23516,0.89847,0.97331,0.97901,0.99122,0.98129,0.25028,0.23068,0.87093,0.00109,0.00109,0.00109
47,2060.2,0.24145,0.2282,0.89535,0.97478,0.98261,0.99168,0.98363,0.24215,0.22706,0.85634,0.000892,0.000892,0.000892
48,2103.25,0.23758,0.21904,0.89313,0.9744,0.9858,0.99223,0.98416,0.23311,0.21203,0.85428,0.000694,0.000694,0.000694
49,2145.95,0.23474,0.22089,0.88712,0.9772,0.98636,0.9907,0.98315,0.23137,0.21081,0.8534,0.000496,0.000496,0.000496
50,2188.67,0.22819,0.2024,0.88977,0.98442,0.98979,0.99121,0.98453,0.22654,0.20014,0.84725,0.000298,0.000298,0.000298
